COUNTRY.UN_CODE,SPECIES.ALPHA_3_CODE,AREA.CODE,ENVIRONMENT.ALPHA_2_CODE,MEASURE,PERIOD,VALUE,STATUS
356,CMG,4,IN,Q_tlw,1950,678.0,I
356,CMG,4,IN,Q_tlw,1951,780.0,I
356,CMG,4,IN,Q_tlw,1952,898.0,I
356,CMG,4,IN,Q_tlw,1953,1034.0,I
356,CMG,4,IN,Q_tlw,1954,1191.0,I
356,CMG,4,IN,Q_tlw,1955,1371.0,I
356,CMG,4,IN,Q_tlw,1956,1578.0,I
356,CMG,4,IN,Q_tlw,1957,1816.0,I
356,CMG,4,IN,Q_tlw,1958,2091.0,I
356,CMG,4,IN,Q_tlw,1959,2407.0,I
356,CMG,4,IN,Q_tlw,1960,2771.0,I
356,CMG,4,IN,Q_tlw,1961,3190.0,I
356,CMG,4,IN,Q_tlw,1962,3672.0,I
356,CMG,4,IN,Q_tlw,1963,4228.0,I
356,CMG,4,IN,Q_tlw,1964,4867.0,I
356,CMG,4,IN,Q_tlw,1965,5603.0,I
356,CMG,4,IN,Q_tlw,1966,6450.0,I
356,CMG,4,IN,Q_tlw,1967,7425.0,I
356,CMG,4,IN,Q_tlw,1968,8548.0,I
356,CMG,4,IN,Q_tlw,1969,9840.0,I
356,CMG,4,IN,Q_tlw,1970,11328.0,I
356,CMG,4,IN,Q_tlw,1971,13041.0,I
356,CMG,4,IN,Q_tlw,1972,15012.0,I
356,CMG,4,IN,Q_tlw,1973,17282.0,I
356,CMG,4,IN,Q_tlw,1974,19895.0,I
356,CMG,4,IN,Q_tlw,1975,22903.0,I
356,CMG,4,IN,Q_tlw,1976,26366.0,I
356,CMG,4,IN,Q_tlw,1977,30352.0,I
356,CMG,4,IN,Q_tlw,1978,34941.0,I
356,CMG,4,IN,Q_tlw,1979,40224.0,I
356,CMG,4,IN,Q_tlw,1980,46306.0,I
356,CMG,4,IN,Q_tlw,1981,53307.0,I
356,CMG,4,IN,Q_tlw,1982,61367.0,I
356,CMG,4,IN,Q_tlw,1983,70645.0,I
356,CMG,4,IN,Q_tlw,1984,88000.0,I
356,CMG,4,IN,Q_tlw,1985,97000.0,I
356,CMG,4,IN,Q_tlw,1986,106000.0,I
356,CMG,4,IN,Q_tlw,1987,123000.0,I
356,CMG,4,IN,Q_tlw,1988,141000.0,I
356,CMG,4,IN,Q_tlw,1989,158000.0,I
356,CMG,4,IN,Q_tlw,1990,158598.0,A
356,CMG,4,IN,Q_tlw,1991,187560.0,A
356,CMG,4,IN,Q_tlw,1992,293182.0,A
356,CMG,4,IN,Q_tlw,1993,332600.0,A
356,CMG,4,IN,Q_tlw,1994,343980.0,A
356,CMG,4,IN,Q_tlw,1995,387470.0,A
356,CMG,4,IN,Q_tlw,1996,460000.0,A
356,CMG,4,IN,Q_tlw,1997,480000.0,A
356,CMG,4,IN,Q_tlw,1998,426200.0,A
356,CMG,4,IN,Q_tlw,1999,469700.0,A
356,CMG,4,IN,Q_tlw,2000,470500.0,A
356,CMG,4,IN,Q_tlw,2001,353211.0,A
356,CMG,4,IN,Q_tlw,2002,401545.0,A
356,CMG,4,IN,Q_tlw,2003,398537.0,A
356,CMG,4,IN,Q_tlw,2004,221064.0,A
356,CMG,4,IN,Q_tlw,2005,217127.0,A
356,CMG,4,IN,Q_tlw,2006,109033.0,A
356,CMG,4,IN,Q_tlw,2007,145287.0,A
356,CMG,4,IN,Q_tlw,2008,281525.0,A
356,CMG,4,IN,Q_tlw,2009,304767.0,A
356,CMG,4,IN,Q_tlw,2010,87686.0,A
356,CMG,4,IN,Q_tlw,2011,131793.0,A
356,CMG,4,IN,Q_tlw,2012,165782.0,A
356,CMG,4,IN,Q_tlw,2013,159028.0,A
356,CMG,4,IN,Q_tlw,2014,170000.0,I
356,CMG,4,IN,Q_tlw,2015,182000.0,I
356,CMG,4,IN,Q_tlw,2016,190000.0,I
356,CMG,4,IN,Q_tlw,2017,203000.0,I
356,CMG,4,IN,Q_tlw,2018,234000.0,I
356,CMG,4,IN,Q_tlw,2019,265700.0,I
356,CMG,4,IN,Q_tlw,2020,289619.0,A
356,CMG,4,IN,Q_tlw,2021,310200.0,I
356,CMG,4,IN,Q_tlw,2022,340700.0,I
356,CMG,4,IN,Q_tlw,2023,374956.0,A
356,CMG,4,IN,Q_tlw,2024,391807.0,A
356,FCP,4,IN,Q_tlw,1993,8074.0,A
356,FCP,4,IN,Q_tlw,1994,4894.0,A
356,FCP,4,IN,Q_tlw,1995,13348.0,A
356,FCP,4,IN,Q_tlw,1996,13720.0,A
356,FCP,4,IN,Q_tlw,1997,15851.0,A
356,FCP,4,IN,Q_tlw,1998,70300.0,A
356,FCP,4,IN,Q_tlw,1999,78400.0,A
356,FCP,4,IN,Q_tlw,2000,74500.0,A
356,FCP,4,IN,Q_tlw,2001,342188.0,A
356,FCP,4,IN,Q_tlw,2002,359325.0,A
356,FCP,4,IN,Q_tlw,2003,442874.0,A
356,FCP,4,IN,Q_tlw,2010,186454.0,A
356,FCP,4,IN,Q_tlw,2011,17600.0,I
356,FCP,4,IN,Q_tlw,2012,17600.0,I
356,FCP,4,IN,Q_tlw,2013,17440.0,I
356,FCP,4,IN,Q_tlw,2014,17500.0,I
356,FCP,4,IN,Q_tlw,2015,18800.0,I
356,FCP,4,IN,Q_tlw,2016,20000.0,I
356,FCP,4,IN,Q_tlw,2017,21000.0,I
356,FCP,4,IN,Q_tlw,2018,21700.0,I
356,FCP,4,IN,Q_tlw,2019,24600.0,I
356,FCP,4,IN,Q_tlw,2020,26070.0,A
356,FCP,4,IN,Q_tlw,2021,27900.0,I
356,FCP,4,IN,Q_tlw,2022,30600.0,I
356,FCP,4,IN,Q_tlw,2023,33048.0,A
356,FCP,4,IN,Q_tlw,2024,36643.0,A
356,LCB,4,IN,Q_tlw,2008,9821.0,I
356,LCB,4,IN,Q_tlw,2009,10707.0,I
356,LCB,4,IN,Q_tlw,2010,4200.0,A
356,LCB,4,IN,Q_tlw,2011,7901.0,A
356,LCB,4,IN,Q_tlw,2012,5497.0,A
356,LCB,4,IN,Q_tlw,2013,5973.0,A
356,LCB,4,IN,Q_tlw,2014,8100.0,I
356,LCB,4,IN,Q_tlw,2015,9000.0,I
356,LCB,4,IN,Q_tlw,2016,10000.0,I
356,LCB,4,IN,Q_tlw,2017,10700.0,I
356,LCB,4,IN,Q_tlw,2018,12000.0,I
