year,environment_code,environment,production_tonnes,production_kg,status
2009,BW,Brackishwater,1730.0,1730000.0,A
2011,BW,Brackishwater,125000.0,125000000.0,I
2012,BW,Brackishwater,136300.0,136300000.0,A
2013,BW,Brackishwater,211200.0,211200000.0,A
2014,BW,Brackishwater,305251.0,305251000.0,A
2015,BW,Brackishwater,416347.0,416347000.0,A
2016,BW,Brackishwater,461302.0,461302000.0,A
2017,BW,Brackishwater,583400.0,583400000.0,A
2018,BW,Brackishwater,622000.0,622000000.0,I
2019,BW,Brackishwater,724267.0,724267000.0,A
2020,BW,Brackishwater,894772.0,894772000.0,A
2021,BW,Brackishwater,997263.0,997263000.0,A
2022,BW,Brackishwater,973540.0,973540000.0,A
2023,BW,Brackishwater,1153339.0,1153339000.0,A
2024,BW,Brackishwater,1140561.0,1140561000.0,A
2024,IN,Freshwater,42892.0,42892000.0,I
