year,production_tonnes,production_kg,observations,environments,yoy_change_pct
2009,1730.0,1730000.0,1,1,
2011,125000.0,125000000.0,1,1,7125.433526011561
2012,136300.0,136300000.0,1,1,9.040000000000003
2013,211200.0,211200000.0,1,1,54.95231107850329
2014,305251.0,305251000.0,1,1,44.531723484848484
2015,416347.0,416347000.0,1,1,36.39496676505565
2016,461302.0,461302000.0,1,1,10.797483829594068
2017,583400.0,583400000.0,1,1,26.46812717048701
2018,622000.0,622000000.0,1,1,6.6163866986630016
2019,724267.0,724267000.0,1,1,16.44163987138263
2020,894772.0,894772000.0,1,1,23.541732537862426
2021,997263.0,997263000.0,1,1,11.45442637901053
2022,973540.0,973540000.0,1,1,-2.378810805173759
2023,1153339.0,1153339000.0,1,1,18.46857858947757
2024,1183453.0,1183453000.0,2,2,2.6110276336792637
