"COUNTRY.UN_CODE","SPECIES.ALPHA_3_CODE","AREA.CODE","ENVIRONMENT.ALPHA_2_CODE","MEASURE","PERIOD","VALUE","STATUS"
"004","FCY","04","IN","Q_tlw",1969,50,"I"
"004","FCY","04","IN","Q_tlw",1970,50,"I"
"004","FCY","04","IN","Q_tlw",1971,50,"I"
"004","FCY","04","IN","Q_tlw",1972,50,"I"
"004","FCY","04","IN","Q_tlw",1973,50,"I"
"004","FCY","04","IN","Q_tlw",1974,50,"I"
"004","FCY","04","IN","Q_tlw",1975,50,"I"
"004","FCY","04","IN","Q_tlw",1976,150,"I"
"004","FCY","04","IN","Q_tlw",1977,150,"I"
"004","FCY","04","IN","Q_tlw",1978,150,"I"
"004","FCY","04","IN","Q_tlw",1979,150,"I"
"004","FCY","04","IN","Q_tlw",1980,150,"I"
"004","FCY","04","IN","Q_tlw",1981,150,"I"
"004","FCY","04","IN","Q_tlw",1982,150,"I"
"004","FCY","04","IN","Q_tlw",1983,150,"I"
"004","FCY","04","IN","Q_tlw",1984,150,"I"
"004","FCY","04","IN","Q_tlw",1985,150,"I"
"004","FCY","04","IN","Q_tlw",1986,150,"I"
"004","FCY","04","IN","Q_tlw",1987,150,"I"
"004","FCY","04","IN","Q_tlw",1988,150,"I"
"004","FCY","04","IN","Q_tlw",1989,150,"I"
"004","FCY","04","IN","Q_tlw",1990,300,"I"
"004","FCY","04","IN","Q_tlw",1991,300,"I"
"004","FCY","04","IN","Q_tlw",1992,300,"I"
"004","FCY","04","IN","Q_tlw",1993,300,"I"
"004","FCY","04","IN","Q_tlw",1994,300,"I"
"004","FCY","04","IN","Q_tlw",1995,300,"I"
"004","FCY","04","IN","Q_tlw",1996,300,"I"
"004","FCY","04","IN","Q_tlw",1997,300,"I"
"004","FCY","04","IN","Q_tlw",1998,300,"I"
"004","FCY","04","IN","Q_tlw",1999,300,"I"
"004","FCY","04","IN","Q_tlw",2000,300,"I"
"004","FCY","04","IN","Q_tlw",2001,400,"I"
"004","FCY","04","IN","Q_tlw",2002,400,"I"
"004","FCY","04","IN","Q_tlw",2003,400,"I"
"004","FCY","04","IN","Q_tlw",2004,400,"I"
"004","FCY","04","IN","Q_tlw",2005,400,"I"
"004","FCY","04","IN","Q_tlw",2006,400,"I"
"004","FCY","04","IN","Q_tlw",2007,900,"I"
"004","FCY","04","IN","Q_tlw",2008,900,"I"
"004","FCY","04","IN","Q_tlw",2009,1500,"I"
"004","FCY","04","IN","Q_tlw",2010,2100,"I"
"004","FCY","04","IN","Q_tlw",2011,2800,"I"
"004","FCY","04","IN","Q_tlw",2012,3430,"I"
"004","FCY","04","IN","Q_tlw",2013,4060,"I"
"004","FCY","04","IN","Q_tlw",2014,4710,"I"
"004","FCY","04","IN","Q_tlw",2015,5400,"I"
"004","FCY","04","IN","Q_tlw",2016,6100,"I"
"004","FCY","04","IN","Q_tlw",2017,6950,"I"
"004","FCY","04","IN","Q_tlw",2018,7930,"I"
"004","FCY","04","IN","Q_tlw",2019,8589,"I"
"004","FCY","04","IN","Q_tlw",2020,9404,"I"
"004","FCY","04","IN","Q_tlw",2021,11067,"I"
