Country (Name),ASFIS species (Name),FAO major fishing area (Name),Detailed production source (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S,[2023],S,[2024],S
India,African sharptooth catfish,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,28000,I,33000,I,38000,I,42000,I,45000,I,49605.5,I,49700,I,53200,I,63000,I,67200,I,79800,I,90650,I,100419.9,,107520,I,118090,I,127537.2,I,132126,
India,Aquatic plants NEI,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4668,,4668,,2,,2,,2,,2,,2,,2,,2,,2,I,2,I,2,I,2,I,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
India,Barramundi(=Giant seaperch),"Indian Ocean, Eastern",Aquaculture production (brackishwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,900,I,1500,I,2000,I,3000,I,3600,I,3900,I,4250,I,4400,I,5311,,5700,I,6300,I,6804,,7147,
India,Catla,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",3869,I,4291,I,4760,I,5279,I,5856,I,6495,I,7204,I,7990,I,8862,I,9830,I,10903,I,12093,I,13413,I,14877,I,16501,I,18302,I,20300,I,22516,I,24973,I,27700,I,30723,I,34077,I,37796,I,41922,I,46498,I,51574,I,57203,I,63448,I,70373,I,78055,I,86575,I,96026,I,106507,I,118133,I,129000,I,142000,I,155000,I,181000,I,207000,I,233000,I,234000,,289925,,299803,,340100,,351747,,394720,,475000,,510000,,450400,,496300,,497200,,373299,,424381,,421203,,1010838,,1135746,,1188293,,1920516,,1760308,I,1791397,I,2254784,I,1697977,I,1958338,I,1989309,I,1999400,I,2049300,I,2249200,I,2429150,I,2880000,I,3055000,I,3286134,,3520200,I,3866700,I,4176036,,4542943,
India,Clarias catfishes NEI,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,41,I,423,I,1107,I,3137,I,5900,I,8795,I,9937,I,11174,I,12508,I,13945,I,15488,I,17140,I,18905,I,20788,I,22791,I,24919,I,30000,I,35000,I,36000,I,36500,I,36500,I,38000,I,39260,,34912,,50323,,50000,I,50000,I,52848,,85127,,91163,,34292,,42878,,2140,,2617,,40939,,42016,,44247,,45740,,56453,,38212,,12000,I,14500,I,16500,I,17800,I,18900,I,21259.5,I,21300,I,22800,I,27000,I,28800,I,34200,I,38850,I,43037.1,,46080,I,50610,I,54658.8,I,59619,
India,Climbing perch,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",6081,I,6380,I,6693,I,7022,I,7368,I,7730,I,8110,I,8509,I,8927,I,9366,I,9827,I,10310,I,10817,I,11349,I,11907,I,12492,I,13107,I,13751,I,14427,I,15137,I,15881,I,16662,I,17481,I,18341,I,19242,I,20189,I,21181,I,22223,I,23315,I,24462,I,25665,I,26927,I,28251,I,29640,I,32000,I,35000,I,36000,I,36500,I,36500,I,38000,I,39260,,34912,,50323,,50000,I,50000,I,55000,I,55000,I,60000,I,65000,I,65000,I,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
India,Common carp,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,8074,,4894,,13348,,13720,,15851,,70300,,78400,,74500,,342188,,359325,,442874,,0,...,0,...,0,...,0,...,0,...,0,...,186454,,17600,I,17600,I,17440,I,17500,I,18800,I,20000,I,21000,I,21700,I,24600,I,26070,,27900,I,30600,I,33048,,36643,
India,Freshwater fishes NEI,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",3503,I,3913,I,4371,I,4882,I,5454,I,6092,I,6806,I,7602,I,8492,I,9486,I,10597,I,11837,I,13223,I,14771,I,16500,I,18431,I,20589,I,22999,I,25691,I,28699,I,32058,I,35811,I,40003,I,44686,I,49917,I,55760,I,62287,I,69578,I,77723,I,86821,I,96985,I,108338,I,121020,I,135186,I,152000,I,167000,I,182000,I,213000,I,243000,I,274000,I,274810,,348436,,352140,,216037,,268537,,269118,,88019,,82804,,99646,,147556,,40852,,98857,,101683,,107200,,108959,,39500,I,139779,,180085,,264659,I,190628,I,134688,,101485,,216511,,269478,I,484231,I,721683,I,769569,I,862483,I,1048100,I,1140112,I,1215082,,1401206,I,1540875,I,1603429,I,1761928,
India,Giant river prawn,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,150,,198,,196,,455,,178,,311,,300,I,178,,1500,,3900,,7000,,16600,,24230,,30500,,35870,,38720,,42820,,30115,,27262,,12800,,6600,,0,...,0,...,0,...,6900,,8680,,8729,,10162,,9056,,10000,I,8702,,9128,,18086,,25479,,25344,,26368,
India,Giant tiger prawn,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,15431,,12365,,12812,,8300,,6200,I,6800,,0,...,5000,I,5000,,200,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
