pond_id,region,date_of_data_collection,time_of_data_collection,type,do_(mg_l),ph,temp_(in_°c),ammonia—nh3_(mg_l),ammonia—tan_(nh3_n)_(mg_l),ammonia—tan_(nh3)_(mg_l),tds_(ppt),turbidity_(in_cm),feed_amount_(kg),stocking_density_(per_acre),species,weight,is_wq_in_range?,measurement_datetime
ara2_e74f26b3,Eluru,08/06/2026,16:22,Evening,6.9,8.44,31.3,,,,,,,2414.0,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,Yes,2026-08-06 16:22:00
ara2_46286ebb,Eluru,08/06/2026,16:08,Evening,6.7,8.23,31.2,,,,,,,2667.0,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,Yes,2026-08-06 16:08:00
ara2_e74f26b3,Eluru,08/06/2026,07:13,Morning,3.7,8.24,30.0,0.0,,0.0,,,750.0,2414.0,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,Yes,2026-08-06 07:13:00
ara2_46286ebb,Eluru,08/06/2026,06:42,Morning,3.2,8.15,29.7,0.0,,0.0,,,1250.0,2667.0,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,Yes,2026-08-06 06:42:00
ara2_368849b6,Eluru,08/03/2026,17:04,Evening,11.2,8.39,32.3,,,,,,,1406.0,"Rohu (Labeo rohita), Catla (Catla catla)",1500.0,Yes,2026-08-03 17:04:00
ara2_30c31874,Eluru,08/03/2026,16:46,Evening,11.8,8.38,33.5,,,,,,,119048.0,"Rohu (Labeo rohita), Catla (Catla catla)",,Yes,2026-08-03 16:46:00
ara2_b0a5ed5f,Eluru,08/03/2026,16:41,Evening,14.0,8.47,32.8,,,,,,,1706.0,"Rohu (Labeo rohita), Catla (Catla catla)",1300.0,Yes,2026-08-03 16:41:00
ara2_586ab2f7,Eluru,08/03/2026,16:39,Evening,11.4,8.46,33.2,,,,,,,57143.0,"Rohu (Labeo rohita), Catla (Catla catla)",,Yes,2026-08-03 16:39:00
ara2_0ac139b5,Eluru,08/03/2026,16:35,Evening,10.8,8.29,30.2,,,,,,,2676.0,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,Yes,2026-08-03 16:35:00
ara2_778970d8,Eluru,08/03/2026,16:33,Evening,13.2,8.85,33.3,,,,,,,1296.0,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,No,2026-08-03 16:33:00
ara2_fea90a74,Eluru,08/03/2026,16:28,Evening,14.4,8.38,33.6,,,,,,,2358.0,"Rohu (Labeo rohita), Catla (Catla catla)",1300.0,Yes,2026-08-03 16:28:00
ara2_6af7067d,Eluru,08/03/2026,16:25,Evening,11.3,8.22,30.1,,,,,,,2129.0,"Rohu (Labeo rohita), Catla (Catla catla)",1100.0,Yes,2026-08-03 16:25:00
