pond_id,region,date_of_data_collection,enrollment_mechanism,added_by,property_area_in_acres,pond_area_in_acres,depth_in_meters,status,measurements,culture_change,equipment,existing_practices,notes_(existing_practices),fertilizers_used,feed_type,feed_source,feed_brand_or_name,fish_source_(e.g._hatchery_name),notes
ara2_41e97843,Eluru,07/22/2026,Organic,Chaitanya,17.0,14.1,2.1,Treatment,2,,"1 water pump, Farmer installed blowers in the pond","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,Pelleted feed (floating),Self made,,Local farmers,
ara2_048a77e9,Eluru,07/22/2026,Organic,Chaitanya,4.0,3.2,2.1,Treatment,2,,"1 water pump, Farmer had blowers installed in the pond","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,Pelleted feed (floating),Self made,,Local farmers,
ara2_8ee1e5e2,Eluru,07/22/2026,Organic,Chaitanya,7.0,5.8,2.1,Treatment,2,,"1 water pump, Farmer had blowers installed","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,Pelleted feed (floating),Self made,,Local farmers,
ara2_296bcb81,Eluru,07/22/2026,Organic,Chaitanya,16.0,14.0,3.0,Treatment,2,,"1 water pump, Farmer had blowers installed","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,Pelleted feed (floating),Self made,,Local farmers,
ara2_ea0cc887,Eluru,07/22/2026,Organic,Chaitanya,30.0,25.5,3.0,Treatment,2,,"1 water pump, Farmer had air blowers installed","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,Pelleted feed (floating),Self made,,Local farmers,
ara2_7e684a8f,Eluru,06/23/2026,Organic,Chaitanya,8.0,7.4,2.1,Treatment,3,,,"Disease analysis by sending dead fish to lab, Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Super Phosphate, Magnesium, Lime",DORB,Local market,,Local farmers,
ara2_d60f166f,Eluru,06/23/2026,Organic,Chaitanya,10.0,9.0,2.1,Treatment,3,,4 aerator,"Disease analysis by sending dead fish to lab, Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Super Phosphate, Magnesium, Lime",DORB,Local market,,Local farmers,
ara2_31503b0c,Eluru,06/23/2026,Organic,Chaitanya,50.0,45.5,2.4,Treatment,3,,2 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month, Disease analysis by sending dead fish to lab",,"Single Super Phosphate, Magnesium, Lime",DORB,Local market,,Local farmers,
ara2_b8e096b3,Eluru,06/23/2026,Organic,Chaitanya,40.0,37.6,2.4,Treatment,3,,2 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month, Disease analysis by sending dead fish to lab",,"Super Phosphate, Magnesium, Lime",DORB,Local market,,Local farmers,
ara2_438777b9,Eluru,06/03/2026,Organic,Chaitanya,5.0,4.6,1.8,Treatment,6,,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow Manure, Super Phosphate, Lime",DORB,National supplier,,Local farmers,
ara2_25e534f2,Eluru,06/03/2026,Organic,Chaitanya,16.0,12.5,1.8,Treatment,2,,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow Manure, Super Phosphate, Lime",DORB,National supplier,,Local farmers,
ara2_d8a0ad32,Eluru,06/03/2026,Organic,Chaitanya,36.0,32.0,1.8,Treatment,6,,2 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow Manure, Super Phosphate, Lime",DORB,National supplier,,Local farmers,
ara2_f33085c0,Eluru,06/03/2026,Organic,Chaitanya,46.0,41.0,1.9,Treatment,6,,"2 water pump, 1 Motor boat","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow Manure, Super Phosphate, Lime",DORB,National supplier,,Local farmers,
