pond_id,region,Date of drop out,Added by,Tenancy type,Pond measurements,Reason,Further details on reason
ara2_c3cfe293,Eluru,07/10/2026,Chaitanya,Leased,28,Changed to farming another species of finfish,Doing Pangasius culture
ara2_7bd7da7f,Eluru,07/10/2026,Chaitanya,Leased,34,Changed to farming another species of finfish,Doing Pangasius culture
ara2_084db03a,Eluru,07/10/2026,Chaitanya,Leased,34,Changed to farming another species of finfish,Doing Pangasius culture
ara2_0e392abc,Eluru,07/10/2026,Chaitanya,Leased,24,Changed to farming crustaceans (e.g. shrimp),Doing Shrimp culture
ara2_d9e114a2,Eluru,07/10/2026,Chaitanya,Owned,15,Changed to farming another species of finfish,Doing high stocking density roopchand farming
ara2_db4df335,Eluru,07/10/2026,Chaitanya,Owned,24,Changed to farming another species of finfish,Doing Pangasius culture
ara2_33f93df9,Eluru,07/10/2026,Chaitanya,Owned,9,Changed to farming crustaceans (e.g. shrimp),Doing Shrimp culture
ara2_7c20400e,Eluru,07/10/2026,Chaitanya,Owned,35,Changed to farming crustaceans (e.g. shrimp),Doing shrimp culture
ara2_cf6f1332,Eluru,07/10/2026,Chaitanya,Owned,67,Changed to farming crustaceans (e.g. shrimp),Doing shrimp culture
ara2_96339578,Eluru,07/10/2026,Chaitanya,Leased,24,Changed to farming crustaceans (e.g. shrimp),Doing Shrimp culture
ara2_efbf4092,Eluru,07/10/2026,Chaitanya,Owned,11,Changed to farming another species of finfish,Farmer is doing Pangasius culture
ara2_540dc41d,Eluru,07/10/2026,Chaitanya,Owned,16,Changed to farming another species of finfish,Farmer is doing Pangasius culture
ara2_c79c24af,Eluru,07/10/2026,Chaitanya,Leased,17,Other (mention below),Pond lease got completed
ara2_a7352243,Eluru,07/10/2026,Chaitanya,Leased,29,Other (mention below),Pond lease got completed
ara2_4b73da19,Eluru,07/10/2026,Chaitanya,Owned,21,Changed to farming another species of finfish,Doing some exotic fish species farming
ara2_25585dd3,Eluru,07/10/2026,Chaitanya,Leased,12,Changed to farming another species of finfish,The farmer is doing Pangasius culture.
ara2_1f1af1d7,Eluru,07/10/2026,Chaitanya,Owned,12,Changed to farming another species of finfish,The farmer is doing Pangasius culture.
ara2_30f18320,Eluru,07/10/2026,Chaitanya,Owned,12,Changed to farming another species of finfish,The farmer is doing Pangasius culture.
ara2_ac5a66af,Eluru,07/10/2026,Chaitanya,Owned,11,Changed to farming another species of finfish,Doing some exotic fish species farming
ara2_0a8841ec,Eluru,07/10/2026,Chaitanya,Owned,11,Changed to farming crustaceans (e.g. shrimp),Doing shrimp culture
ara2_8cd29c44,Eluru,07/10/2026,Chaitanya,Leased,2,Changed to farming crustaceans (e.g. shrimp),Doing shrimp farming
ara2_c2bf107e,Eluru,07/10/2026,Chaitanya,Owned,7,Changed to farming another species of finfish,Doing some exotic fish species farming
ara2_00b47526,Eluru,07/10/2026,Chaitanya,Owned,8,Changed to farming another species of finfish,Doing high stocking density roopchand farming
ara2_38378731,Eluru,07/10/2026,Chaitanya,Owned,8,Changed to farming another species of finfish,Doing high stocking density roopchand farming
ara2_469c3f4d,Eluru,07/10/2026,Chaitanya,Owned,74,Changed to farming another species of finfish,Doing high stocking density roopchand farming
ara2_044398f2,Eluru,07/10/2026,Chaitanya,Owned,62,Changed to farming another species of finfish,Doing high stocking density roopchand farming
ara2_1d54882b,Nellore,07/03/2026,Chaitanya,Leased,36,Other (mention below),Pond lease period got completed.
ara2_7ed0eacc,Nellore,07/03/2026,Chaitanya,Owned,94,Changed to farming crustaceans (e.g. shrimp),Doing shrimp culture
