pond_id,region,Event date,Initial entry,Pond status,Type,Logged by,Data verification method,Data verified by,Data verification notes,Lifecycle,Current fish stocking density per acre,Current shrimp stocking density per acre,Species,Species ratio,Reported target weight in grams,Communicated stock density limit,Average fish weight (in grams),Average weight of Catla (Catla catla) (in grams),Average weight of Rohu (Labeo rohita) (in grams),Average weight of Mrigal (Cirrhinus cirrhosus) (in grams),Average weight of Grass Carp (Ctenopharyngodon idella) (in grams),Average weight of Common Carp (Cyprinus carpio) (in grams),Average weight of Roopchand (in grams),Average weight of Whiteleg Shrimp (Litopenaeus vannamei) (in grams),Average weight of Pangasius (in grams),Intended fish stocking density (per acre),Intended fish stocking density (entire pond),Actual fish stocking density (per acre),Fish stocking density (entire pond),Fish purchases diverted,Intended shrimp stocking density (per acre),Intended shrimp stocking density (entire pond),Actual shrimp stocking density (per acre),Actual shrimp stocking density (entire pond),Shrimp purchases diverted,Did the farmer do pond preparation?,Explain what the farmer did for pond preparation,Harvest reason,"Fish harvested (total, in kg)","Shrimp harvested (total, in kg)","Fish left in the pond (total, in individuals)","Shrimp left in the pond (total, in individuals)",Is the farmer planning to do pond preparation?,Explain what the farmer is planning to do for pond preparation,Notes,Lifecycle is updated accordingly on the master doc,Created at
ara2_3eab831e,Eluru,08/15/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,5941,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200,15000,50,,50,,,,,,,5941,60000,5941,60000,0,,,,,,,,,,,,,,,,Yes,07/30/2026 05:34
ara2_1d5dce9e,Eluru,07/25/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,10000,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,300,10000,30,,30,,,,,,,10000,30000,10000,30000,0,,,,,,1,"Removed the old water, added bleach and filled with new water",,,,,,,,,Yes,07/31/2026 05:13
ara2_ca187575,Eluru,07/22/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,850,,850,,,,,,,,,,,,,,,,,,,,,,,,,,Due to tilapia infestation these fishes were transferred to their other grow-out pond,Yes,08/04/2026 05:27
ara2_b0a5ed5f,Eluru,07/20/2026,No,Treatment,Partial harvest,Chaitanya,Verbal communication,,,Grow-out,1706,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1250,,1250,,,,,,,,,,,,,,,,,,,Planned harvest,50000,,,,,,,Yes,08/04/2026 05:15
ara2_cde272ed,Eluru,07/20/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,350,,350,,,,,,,,,,,,,,,,,,,Planned sale,,,0,,,,100000 fishes were sold to other grow out farmers,Yes,07/31/2026 05:30
ara2_0772ec50,Eluru,07/18/2026,No,Control,Stocking,Chaitanya,Verbal communication,,,Grow-out,1647,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200,2500,500,,500,,,,,,,1647,70000,1647,70000,0,,,,,,,,,,,,,,,,Yes,07/31/2026 05:09
ara2_50841581,Eluru,07/15/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,5500,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250,12000,30,,30,,,,,,,5500,110000,5500,110000,0,,,,,,,,,,,,,,,,Yes,07/30/2026 05:40
ara2_8ee1e5e2,Eluru,07/12/2026,Yes,,Stocking,Chaitanya,,,,Rearing,21552,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,100,30000,,,40,,,,,,,21552,,21552,,0,,,,,,,,,,,,,,,,,07/30/2026 06:33
ara2_25e534f2,Eluru,07/09/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,945,1400,900,,,,,,,,,,,,,,,,,,,,26000,,0,,,,,Yes,07/31/2026 05:26
ara2_71e2b7b9,Eluru,07/08/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1170,1800,1100,,,,,,,,,,,,,,,,,,,Planned harvest,120000,,,,,,,Yes,07/31/2026 05:21
ara2_50841581,Eluru,07/07/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,500,,500,,,,,,,,,,,,,,,,,,,Planned sale,,,,,,,80000 fishes were sold to other grow out farmers,Yes,07/30/2026 05:37
ara2_368849b6,Eluru,07/04/2026,No,Treatment,Partial harvest,Chaitanya,Verbal communication,,,Grow-out,1406,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1400,,1400,,,,,,,,,,,,,,,,,,,Planned harvest,55000,,,,,,,Yes,08/04/2026 05:13
