pond_id,region,event_date,initial_entry,pond_status,type,logged_by,data_verification_method,data_verified_by,data_verification_notes,lifecycle,current_fish_stocking_density_per_acre,current_shrimp_stocking_density_per_acre,species,species_ratio,reported_target_weight_in_grams,communicated_stock_density_limit,average_fish_weight_(in_grams),average_weight_of_catla_(catla_catla)_(in_grams),average_weight_of_rohu_(labeo_rohita)_(in_grams),average_weight_of_mrigal_(cirrhinus_cirrhosus)_(in_grams),average_weight_of_grass_carp_(ctenopharyngodon_idella)_(in_grams),average_weight_of_common_carp_(cyprinus_carpio)_(in_grams),average_weight_of_roopchand_(in_grams),average_weight_of_whiteleg_shrimp_(litopenaeus_vannamei)_(in_grams),average_weight_of_pangasius_(in_grams),intended_fish_stocking_density_(per_acre),intended_fish_stocking_density_(entire_pond),actual_fish_stocking_density_(per_acre),fish_stocking_density_(entire_pond),fish_purchases_diverted,intended_shrimp_stocking_density_(per_acre),intended_shrimp_stocking_density_(entire_pond),actual_shrimp_stocking_density_(per_acre),actual_shrimp_stocking_density_(entire_pond),shrimp_purchases_diverted,did_the_farmer_do_pond_preparation?,explain_what_the_farmer_did_for_pond_preparation,harvest_reason,"fish_harvested_(total,_in_kg)","shrimp_harvested_(total,_in_kg)","fish_left_in_the_pond_(total,_in_individuals)","shrimp_left_in_the_pond_(total,_in_individuals)",is_the_farmer_planning_to_do_pond_preparation?,explain_what_the_farmer_is_planning_to_do_for_pond_preparation,notes,lifecycle_is_updated_accordingly_on_the_master_doc,created_at,event_date_parsed,type_clean,species_clean,is_shrimp_species,is_stocking_event,is_harvest_event
ara2_000384fb,Eluru,07/22/2024,No,Treatment,Stocking,Praveen,Verbal communication,,,Grow-out,2708.0,0.0,"Catla (Catla catla), Rohu (Labeo rohita), Whiteleg Shrimp (Litopenaeus vannamei)",9:1,,,330.0,500.0,300.0,,,,,,,2708,30000.0,2708.0,30000.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,,,,,,11/06/2024 07:23,2024-07-22,stocking,"catla (catla catla), rohu (labeo rohita), whiteleg shrimp (litopenaeus vannamei)",True,True,False
ara2_51ee6ab1,Nellore,03/05/2023,No,Treatment,Stocking,Chandu,,,,Grow-out,440.0,40000.0,"Catla (Catla catla), Grass Carp (Ctenopharyngodon idella), Whiteleg Shrimp (Litopenaeus vannamei)",9:1,,,70.0,,,,,,,,,,,440.0,,,,,40000.0,,,Yes,Pond drying,,,,,,,,,,12/15/2023 11:41,2023-03-05,stocking,"catla (catla catla), grass carp (ctenopharyngodon idella), whiteleg shrimp (litopenaeus vannamei)",True,True,False
ara2_6f5cd71e,Nellore,02/25/2023,No,Treatment,Stocking,Nagaraju B.,,,,,2300.0,35000.0,"Rohu (Labeo rohita), Whiteleg Shrimp (Litopenaeus vannamei)",,,,40.0,,,,,,,,,,,2300.0,,,,,35000.0,,,Yes,"Pond drying, lime applied, ploughing. ",,,,,,,,,,12/15/2023 11:41,2023-02-25,stocking,"rohu (labeo rohita), whiteleg shrimp (litopenaeus vannamei)",True,True,False
ara2_cd288d30,Nellore,11/03/2022,No,Treatment,Stocking,Chandu,,,,,3000.0,40000.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,,50.0,,,,,,,,,,,3000.0,,,,,40000.0,,,Yes,"Pond dried, plough.",,,,,,,,,,12/15/2023 11:42,2022-11-03,stocking,"rohu (labeo rohita), catla (catla catla)",False,True,False
ara2_3587929e,Nellore,10/28/2022,No,Treatment,Stocking,Chandu,,,,,2300.0,0.0,"Rohu (Labeo rohita), Catla (Catla catla), Roopchand",,,,500.0,,,,,,,,,,,2300.0,,,,,0.0,,,No,,,,,,,,,,,12/15/2023 11:42,2022-10-28,stocking,"rohu (labeo rohita), catla (catla catla), roopchand",False,True,False
ara2_65a854d9,Nellore,10/20/2022,No,Treatment,Stocking,Chandu,,,,,2833.0,33333.0,"Rohu (Labeo rohita), Catla (Catla catla), Whiteleg Shrimp (Litopenaeus vannamei), Pangasius",,,,80.0,,,,,,,,,,,2833.0,,,,,33333.0,,,Yes,Pond dried ,,,,,,,,"Rohu @15000, Catla @1800, Grass Carp @200.
",,12/15/2023 11:42,2022-10-20,stocking,"rohu (labeo rohita), catla (catla catla), whiteleg shrimp (litopenaeus vannamei), pangasius",True,True,False
ara2_6ea8e528,Nellore,10/09/2022,No,Treatment,Stocking,Chandu,,,,,2857.0,0.0,"Rohu (Labeo rohita), Catla (Catla catla), Roopchand",,,,,,,,,,,,,,,2857.0,,,,,0.0,,,No,,,,,,,,,"Farmer stocked 3000 Roopchand, 6300 Rohu and 700 Catla in 3.5 acre pond",,12/15/2023 11:42,2022-10-09,stocking,"rohu (labeo rohita), catla (catla catla), roopchand",False,True,False
ara2_17b9d7b4,Nellore,10/07/2022,No,Control,Stocking,Chandu,,,,,2300.0,0.0,"Rohu (Labeo rohita), Catla (Catla catla), Pangasius",,,,,,,,,,,,,3500,,2300.0,,4140.0,,,0.0,,,Yes,Sun dried the pond bottom added lime and ploughed the pond bottom,,,,,,,,"Farmer stocked 8000 Rohu, 1000 Catla and 200 Grass carp in a 4 acre pond.",,12/15/2023 11:42,2022-10-07,stocking,"rohu (labeo rohita), catla (catla catla), pangasius",False,True,False
ara2_07d25a85,Nellore,10/07/2022,No,Control,Stocking,Chandu,,,,,2250.0,0.0,"Rohu (Labeo rohita), Catla (Catla catla)",,,,,,,,,,,,,3500,,2250.0,,6187.0,,,0.0,,,Yes,"Sun dried the pond bottom, added lime and ploughed the pond bottom with a tractor",,,,,,,,Farmer stocked 12000 Rohu and 1500 Catla in a 6 acre pond,,12/15/2023 11:42,2022-10-07,stocking,"rohu (labeo rohita), catla (catla catla)",False,True,False
ara2_3f9ee6c3,Nellore,09/27/2022,No,Treatment,Stocking,Chandu,,,,,4625.0,0.0,"Rohu (Labeo rohita), Catla (Catla catla), Roopchand",,,,,,,,,,,,,,,4625.0,,,,,0.0,,,No,,,,,,,,,"Farmer stocked 10,000 Roopchand, 7000 Rohu and 1500 Catla in a 4 acre pond. As we asked about the high SD farmer said he will partial harvest Roopchand within 4 months.",,12/15/2023 11:42,2022-09-27,stocking,"rohu (labeo rohita), catla (catla catla), roopchand",False,True,False
